
Begin Step 0, Time: 0.0909091, Redshift: 10, Systemstep: 0, Dloga: 0
Begin Step 147, Time: 0.346995, Redshift: 1.88189, Systemstep: 0.000811605, Dloga: 0.00234169

Begin Step 148, Time: 0.347808, Redshift: 1.87515, Systemstep: 0.000813508, Dloga: 0.00234169

Begin Step 149, Time: 0.348624, Redshift: 1.86842, Systemstep: 0.000815415, Dloga: 0.00234169

Begin Step 150, Time: 0.349441, Redshift: 1.86171, Systemstep: 0.000817326, Dloga: 0.00234169

Begin Step 151, Time: 0.35026, Redshift: 1.85502, Systemstep: 0.000819243, Dloga: 0.00234169

Begin Step 152, Time: 0.351081, Redshift: 1.84834, Systemstep: 0.000821163, Dloga: 0.00234169

Begin Step 153, Time: 0.351904, Redshift: 1.84168, Systemstep: 0.000823088, Dloga: 0.00234169

Begin Step 154, Time: 0.352729, Redshift: 1.83503, Systemstep: 0.000825018, Dloga: 0.00234169

Begin Step 155, Time: 0.353556, Redshift: 1.8284, Systemstep: 0.000826952, Dloga: 0.00234169

Begin Step 156, Time: 0.354385, Redshift: 1.82179, Systemstep: 0.000828891, Dloga: 0.00234169

Begin Step 157, Time: 0.355216, Redshift: 1.81519, Systemstep: 0.000830834, Dloga: 0.00234169

Begin Step 158, Time: 0.356049, Redshift: 1.8086, Systemstep: 0.000832782, Dloga: 0.00234169

Begin Step 159, Time: 0.356884, Redshift: 1.80203, Systemstep: 0.000834735, Dloga: 0.00234169

Begin Step 160, Time: 0.35772, Redshift: 1.79548, Systemstep: 0.000836692, Dloga: 0.00234169

Begin Step 161, Time: 0.358559, Redshift: 1.78894, Systemstep: 0.000838653, Dloga: 0.00234169

Begin Step 162, Time: 0.3594, Redshift: 1.78242, Systemstep: 0.000840619, Dloga: 0.00234169

Begin Step 163, Time: 0.360242, Redshift: 1.77591, Systemstep: 0.00084259, Dloga: 0.00234169

Begin Step 164, Time: 0.361087, Redshift: 1.76942, Systemstep: 0.000844566, Dloga: 0.00234169

Begin Step 165, Time: 0.361933, Redshift: 1.76294, Systemstep: 0.000846546, Dloga: 0.00234169

Begin Step 166, Time: 0.362782, Redshift: 1.75648, Systemstep: 0.00084853, Dloga: 0.00234169

Begin Step 167, Time: 0.363632, Redshift: 1.75003, Systemstep: 0.00085052, Dloga: 0.00234169

Begin Step 168, Time: 0.364485, Redshift: 1.7436, Systemstep: 0.000852514, Dloga: 0.00234169

Begin Step 169, Time: 0.365339, Redshift: 1.73718, Systemstep: 0.000854512, Dloga: 0.00234169

Begin Step 170, Time: 0.366196, Redshift: 1.73078, Systemstep: 0.000856516, Dloga: 0.00234169

Begin Step 171, Time: 0.367054, Redshift: 1.72439, Systemstep: 0.000858524, Dloga: 0.00234169

Begin Step 172, Time: 0.367915, Redshift: 1.71802, Systemstep: 0.000860536, Dloga: 0.00234169

Begin Step 173, Time: 0.368777, Redshift: 1.71166, Systemstep: 0.000862554, Dloga: 0.00234169

Begin Step 174, Time: 0.369642, Redshift: 1.70532, Systemstep: 0.000864576, Dloga: 0.00234169

Begin Step 175, Time: 0.370509, Redshift: 1.69899, Systemstep: 0.000866603, Dloga: 0.00234169

Begin Step 176, Time: 0.371377, Redshift: 1.69268, Systemstep: 0.000868635, Dloga: 0.00234169

Begin Step 177, Time: 0.372248, Redshift: 1.68638, Systemstep: 0.000870671, Dloga: 0.00234169

Begin Step 178, Time: 0.373121, Redshift: 1.6801, Systemstep: 0.000872712, Dloga: 0.00234169

Begin Step 179, Time: 0.373995, Redshift: 1.67383, Systemstep: 0.000874758, Dloga: 0.00234169

Begin Step 180, Time: 0.374872, Redshift: 1.66758, Systemstep: 0.000876809, Dloga: 0.00234169

Begin Step 181, Time: 0.375751, Redshift: 1.66134, Systemstep: 0.000878865, Dloga: 0.00234169

Begin Step 182, Time: 0.376632, Redshift: 1.65511, Systemstep: 0.000880925, Dloga: 0.00234169

Begin Step 183, Time: 0.377515, Redshift: 1.6489, Systemstep: 0.000882991, Dloga: 0.00234169

Begin Step 184, Time: 0.3784, Redshift: 1.64271, Systemstep: 0.000885061, Dloga: 0.00234169

