
Begin Step 0, Time: 0.00909085, Redshift: 109.001, Systemstep: 0, Dloga: 0
Begin Step 134, Time: 0.0449118, Redshift: 21.2659, Systemstep: 0.000102961, Dloga: 0.00229516

Begin Step 135, Time: 0.0450149, Redshift: 21.2148, Systemstep: 0.000103198, Dloga: 0.00229516

Begin Step 136, Time: 0.0451184, Redshift: 21.1639, Systemstep: 0.000103435, Dloga: 0.00229516

Begin Step 137, Time: 0.0452221, Redshift: 21.1131, Systemstep: 0.000103673, Dloga: 0.00229516

Begin Step 138, Time: 0.045326, Redshift: 21.0624, Systemstep: 0.000103911, Dloga: 0.00229516

Begin Step 139, Time: 0.0454301, Redshift: 21.0118, Systemstep: 0.00010415, Dloga: 0.00229516

Begin Step 140, Time: 0.0455345, Redshift: 20.9614, Systemstep: 0.000104389, Dloga: 0.00229516

Begin Step 141, Time: 0.0456391, Redshift: 20.911, Systemstep: 0.000104629, Dloga: 0.00229516

Begin Step 142, Time: 0.045744, Redshift: 20.8608, Systemstep: 0.000104869, Dloga: 0.00229516

Begin Step 143, Time: 0.0458491, Redshift: 20.8107, Systemstep: 0.00010511, Dloga: 0.00229516

Begin Step 144, Time: 0.0459545, Redshift: 20.7607, Systemstep: 0.000105352, Dloga: 0.00229516

Begin Step 145, Time: 0.0460601, Redshift: 20.7108, Systemstep: 0.000105594, Dloga: 0.00229516

Begin Step 146, Time: 0.0461659, Redshift: 20.661, Systemstep: 0.000105837, Dloga: 0.00229516

Begin Step 147, Time: 0.046272, Redshift: 20.6114, Systemstep: 0.00010608, Dloga: 0.00229516

Begin Step 148, Time: 0.0463783, Redshift: 20.5618, Systemstep: 0.000106324, Dloga: 0.00229516

Begin Step 149, Time: 0.0464849, Redshift: 20.5124, Systemstep: 0.000106568, Dloga: 0.00229516

Begin Step 150, Time: 0.0465917, Redshift: 20.4631, Systemstep: 0.000106813, Dloga: 0.00229516

Begin Step 151, Time: 0.0466987, Redshift: 20.4139, Systemstep: 0.000107058, Dloga: 0.00229516

Begin Step 152, Time: 0.046806, Redshift: 20.3648, Systemstep: 0.000107304, Dloga: 0.00229516

Begin Step 153, Time: 0.0469136, Redshift: 20.3158, Systemstep: 0.000107551, Dloga: 0.00229516

Begin Step 154, Time: 0.0470214, Redshift: 20.2669, Systemstep: 0.000107798, Dloga: 0.00229516

Begin Step 155, Time: 0.0471294, Redshift: 20.2182, Systemstep: 0.000108046, Dloga: 0.00229516

Begin Step 156, Time: 0.0472377, Redshift: 20.1695, Systemstep: 0.000108294, Dloga: 0.00229516

Begin Step 157, Time: 0.0473463, Redshift: 20.121, Systemstep: 0.000108543, Dloga: 0.00229516

Begin Step 158, Time: 0.0474551, Redshift: 20.0726, Systemstep: 0.000108792, Dloga: 0.00229516

Begin Step 159, Time: 0.0475641, Redshift: 20.0243, Systemstep: 0.000109042, Dloga: 0.00229516

Begin Step 160, Time: 0.0476734, Redshift: 19.9761, Systemstep: 0.000109293, Dloga: 0.00229516

Begin Step 161, Time: 0.0477829, Redshift: 19.928, Systemstep: 0.000109544, Dloga: 0.00229516

Begin Step 162, Time: 0.0478927, Redshift: 19.88, Systemstep: 0.000109795, Dloga: 0.00229516

Begin Step 163, Time: 0.0480028, Redshift: 19.8321, Systemstep: 0.000110048, Dloga: 0.00229516

Begin Step 164, Time: 0.0481131, Redshift: 19.7844, Systemstep: 0.000110301, Dloga: 0.00229516

Begin Step 165, Time: 0.0482236, Redshift: 19.7367, Systemstep: 0.000110554, Dloga: 0.00229516

Begin Step 166, Time: 0.0483345, Redshift: 19.6892, Systemstep: 0.000110808, Dloga: 0.00229516

Begin Step 167, Time: 0.0484455, Redshift: 19.6417, Systemstep: 0.000111063, Dloga: 0.00229516

Begin Step 168, Time: 0.0485568, Redshift: 19.5944, Systemstep: 0.000111318, Dloga: 0.00229516

Begin Step 169, Time: 0.0486684, Redshift: 19.5472, Systemstep: 0.000111574, Dloga: 0.00229516

Begin Step 170, Time: 0.0487802, Redshift: 19.5001, Systemstep: 0.00011183, Dloga: 0.00229516

Begin Step 171, Time: 0.0488923, Redshift: 19.4531, Systemstep: 0.000112087, Dloga: 0.00229516

Begin Step 172, Time: 0.0490047, Redshift: 19.4062, Systemstep: 0.000112345, Dloga: 0.00229516

Begin Step 173, Time: 0.0491173, Redshift: 19.3594, Systemstep: 0.000112603, Dloga: 0.00229516

Begin Step 174, Time: 0.0492301, Redshift: 19.3128, Systemstep: 0.000112861, Dloga: 0.00229516

Begin Step 175, Time: 0.0493433, Redshift: 19.2662, Systemstep: 0.000113121, Dloga: 0.00229516

Begin Step 176, Time: 0.0494566, Redshift: 19.2197, Systemstep: 0.000113381, Dloga: 0.00229516

Begin Step 177, Time: 0.0495703, Redshift: 19.1734, Systemstep: 0.000113641, Dloga: 0.00229516

Begin Step 178, Time: 0.0496842, Redshift: 19.1271, Systemstep: 0.000113902, Dloga: 0.00229516

Begin Step 179, Time: 0.0497983, Redshift: 19.081, Systemstep: 0.000114164, Dloga: 0.00229516

Begin Step 180, Time: 0.0499128, Redshift: 19.035, Systemstep: 0.000114426, Dloga: 0.00229516

Begin Step 181, Time: 0.0500275, Redshift: 18.989, Systemstep: 0.000114689, Dloga: 0.00229516

Begin Step 182, Time: 0.0501424, Redshift: 18.9432, Systemstep: 0.000114953, Dloga: 0.00229516

Begin Step 183, Time: 0.0502576, Redshift: 18.8975, Systemstep: 0.000115217, Dloga: 0.00229516

Begin Step 184, Time: 0.0503731, Redshift: 18.8519, Systemstep: 0.000115482, Dloga: 0.00229516

Begin Step 185, Time: 0.0504889, Redshift: 18.8064, Systemstep: 0.000115747, Dloga: 0.00229516

Begin Step 186, Time: 0.0506049, Redshift: 18.7609, Systemstep: 0.000116013, Dloga: 0.00229516

Begin Step 187, Time: 0.0507211, Redshift: 18.7156, Systemstep: 0.00011628, Dloga: 0.00229516

Begin Step 188, Time: 0.0508377, Redshift: 18.6704, Systemstep: 0.000116547, Dloga: 0.00229516

Begin Step 189, Time: 0.0509545, Redshift: 18.6253, Systemstep: 0.000116815, Dloga: 0.00229516

Begin Step 190, Time: 0.0510716, Redshift: 18.5804, Systemstep: 0.000117083, Dloga: 0.00229516

Begin Step 191, Time: 0.0511889, Redshift: 18.5355, Systemstep: 0.000117352, Dloga: 0.00229516

Begin Step 192, Time: 0.0513066, Redshift: 18.4907, Systemstep: 0.000117622, Dloga: 0.00229516

Begin Step 193, Time: 0.0514245, Redshift: 18.446, Systemstep: 0.000117892, Dloga: 0.00229516

Begin Step 194, Time: 0.0515426, Redshift: 18.4014, Systemstep: 0.000118163, Dloga: 0.00229516

Begin Step 195, Time: 0.0516611, Redshift: 18.3569, Systemstep: 0.000118434, Dloga: 0.00229516

Begin Step 196, Time: 0.0517798, Redshift: 18.3126, Systemstep: 0.000118707, Dloga: 0.00229516

Begin Step 197, Time: 0.0518987, Redshift: 18.2683, Systemstep: 0.000118979, Dloga: 0.00229516

Begin Step 198, Time: 0.052018, Redshift: 18.2241, Systemstep: 0.000119253, Dloga: 0.00229516

Begin Step 199, Time: 0.0521375, Redshift: 18.18, Systemstep: 0.000119527, Dloga: 0.00229516

Begin Step 200, Time: 0.0522573, Redshift: 18.1361, Systemstep: 0.000119801, Dloga: 0.00229516

Begin Step 201, Time: 0.0523774, Redshift: 18.0922, Systemstep: 0.000120077, Dloga: 0.00229516

Begin Step 202, Time: 0.0524978, Redshift: 18.0484, Systemstep: 0.000120353, Dloga: 0.00229516

Begin Step 203, Time: 0.0526184, Redshift: 18.0048, Systemstep: 0.000120629, Dloga: 0.00229516

Begin Step 204, Time: 0.0527393, Redshift: 17.9612, Systemstep: 0.000120906, Dloga: 0.00229516

Begin Step 205, Time: 0.0528605, Redshift: 17.9177, Systemstep: 0.000121184, Dloga: 0.00229516

Begin Step 206, Time: 0.0529819, Redshift: 17.8744, Systemstep: 0.000121463, Dloga: 0.00229516

Begin Step 207, Time: 0.0531037, Redshift: 17.8311, Systemstep: 0.000121742, Dloga: 0.00229516

Begin Step 208, Time: 0.0532257, Redshift: 17.7879, Systemstep: 0.000122021, Dloga: 0.00229516

Begin Step 209, Time: 0.053348, Redshift: 17.7448, Systemstep: 0.000122302, Dloga: 0.00229516

Begin Step 210, Time: 0.0534706, Redshift: 17.7019, Systemstep: 0.000122583, Dloga: 0.00229516

Begin Step 211, Time: 0.0535934, Redshift: 17.659, Systemstep: 0.000122864, Dloga: 0.00229516

Begin Step 212, Time: 0.0537166, Redshift: 17.6162, Systemstep: 0.000123147, Dloga: 0.00229516

Begin Step 213, Time: 0.05384, Redshift: 17.5735, Systemstep: 0.00012343, Dloga: 0.00229516

Begin Step 214, Time: 0.0539637, Redshift: 17.531, Systemstep: 0.000123713, Dloga: 0.00229516

Begin Step 215, Time: 0.0540877, Redshift: 17.4885, Systemstep: 0.000123998, Dloga: 0.00229516

Begin Step 216, Time: 0.054212, Redshift: 17.4461, Systemstep: 0.000124283, Dloga: 0.00229516

Begin Step 217, Time: 0.0543366, Redshift: 17.4038, Systemstep: 0.000124568, Dloga: 0.00229516

Begin Step 218, Time: 0.0544614, Redshift: 17.3616, Systemstep: 0.000124854, Dloga: 0.00229516

Begin Step 219, Time: 0.0545866, Redshift: 17.3195, Systemstep: 0.000125141, Dloga: 0.00229516

Begin Step 220, Time: 0.054712, Redshift: 17.2775, Systemstep: 0.000125429, Dloga: 0.00229516

Begin Step 221, Time: 0.0548377, Redshift: 17.2356, Systemstep: 0.000125717, Dloga: 0.00229516

Begin Step 222, Time: 0.0549637, Redshift: 17.1938, Systemstep: 0.000126006, Dloga: 0.00229516

Begin Step 223, Time: 0.05509, Redshift: 17.1521, Systemstep: 0.000126295, Dloga: 0.00229516

Begin Step 224, Time: 0.0552166, Redshift: 17.1105, Systemstep: 0.000126586, Dloga: 0.00229516

Begin Step 225, Time: 0.0553435, Redshift: 17.069, Systemstep: 0.000126876, Dloga: 0.00229516

Begin Step 226, Time: 0.0554707, Redshift: 17.0275, Systemstep: 0.000127168, Dloga: 0.00229516

Begin Step 227, Time: 0.0555981, Redshift: 16.9862, Systemstep: 0.00012746, Dloga: 0.00229516

Begin Step 228, Time: 0.0557259, Redshift: 16.945, Systemstep: 0.000127753, Dloga: 0.00229516

